client,query_id,question,difficulty,run_idx,answer,overall,correctness,faithfulness,n_tool_calls,total_latency_s,input_tokens,output_tokens,cost_usd
direct,e1,What is hybrid retrieval and how does RRF combine BM25 with dense scores?,easy,0,"Based on the search results, I can provide information about hybrid retrieval, though the specific details about RRF (Reciprocal Rank Fusion) are not fully covered in the retrieved documents. Let me provide what I found:

## Hybrid Retrieval

**Hybrid retrieval** is an approach that combines two complementary retrieval methods to leverage their respective strengths:

1. **Sparse models** (like BM25 and TF-IDF) - These use interpretable, term-based representations and rely on inverted index structures. They excel at exact keyword matching and lexical precision [1].

2. **Dense models** - These represent queries and documents as continuous vectors using deep learning models (typically transformer-based encoders). They enable semantic similarity matching beyond exact term overlap and are effective for semantic search and question answering [1].

**Hybrid models aim to combine the strengths of both approaches**, integrating lexical (token) precision with semantic depth through several techniques [1]:
- **Score fusion** - Combining scores from different retrieval systems
- **Late interaction** - Comparing words more precisely after retrieval
- **Multi-stage ranking pipelines** - Using different methods at different stages

According to the sources, hybrid approaches can ""combine dense vector representations with sparse one-hot vectors, taking advantage of the computational efficiency of sparse dot products over dense vector operations"" [2].

## Data Fusion Methods

While the specific RRF formula wasn't detailed in the retrieved documents, the sources mention that **data fusion in information retrieval combines results from multiple search systems** to improve performance. Common methods include [3]:
- **Score normalization**
- **Voting techniques like CombSUM or Borda count**

This meta-search strategy is particularly effective when individual systems have complementary coverage or when query difficulty varies, producing a more robust and reliable final ranking.

**Citations:**
[1] wikipedia - Information retrieval, chunk_24
[2] wikipedia - Retrieval-augmented generation, chunk_12  
[3] wikipedia - Information retrieval, chunk_20

*Note: The specific mathematical formula for RRF (Reciprocal Rank Fusion) was not found in the available documents, though the general concept of combining ranked lists through data fusion methods was described.*",3.0,3,4,3,48.399158239364624,27436,2210,0.1154579999999999
direct,e1,What is hybrid retrieval and how does RRF combine BM25 with dense scores?,easy,1,"Based on the search results, I can provide information about hybrid retrieval, though the specific details about RRF (Reciprocal Rank Fusion) are not fully covered in the retrieved documents. Let me provide what I found:

## Hybrid Retrieval

**Hybrid retrieval** is an approach that combines two complementary retrieval methods to leverage their respective strengths:

1. **Sparse models** (like BM25 and TF-IDF) - These use interpretable, term-based representations and rely on inverted index structures. They excel at exact keyword matching and lexical precision [1].

2. **Dense models** - These represent queries and documents as continuous vectors using deep learning models (typically transformer-based encoders). They enable semantic similarity matching beyond exact term overlap and are used for semantic search and question answering [1].

**Hybrid models aim to combine the strengths of both approaches**, integrating lexical (token) and semantic signals through several methods [1]:
- **Score fusion** - Combining scores from different retrieval systems
- **Late interaction** - Comparing words more precisely after retrieval
- **Multi-stage ranking pipelines** - Using different methods at different stages

The goal is to balance the lexical precision of sparse methods with the semantic depth of dense models, optimizing for scalability, relevance, and efficiency [2].

## Data Fusion Methods

While the documents don't specifically detail RRF, they mention that **data fusion in information retrieval combines results from multiple search systems** to improve performance. Common methods include [3]:
- **Score normalization**
- **Voting techniques** like CombSUM or Borda count

These meta-search strategies are particularly effective when individual systems have complementary coverage or when query difficulty varies, producing a more robust and reliable final ranking.

**Note:** The specific formula and mechanism of RRF (Reciprocal Rank Fusion) for combining BM25 and dense scores was not found in the available documents. RRF typically works by converting rankings to reciprocal rank scores and summing them, but I cannot provide the exact details from these sources.

### References
[1] wikipedia - Information retrieval (chunk_24)
[2] wikipedia - Information retrieval (chunk_13)
[3] wikipedia - Information retrieval (chunk_20)",3.5,4,4,3,45.01511192321777,27436,2222,0.1156379999999999
direct,e1,What is hybrid retrieval and how does RRF combine BM25 with dense scores?,easy,2,"Based on the search results, I can provide information about hybrid retrieval, though the specific details about RRF (Reciprocal Rank Fusion) are not fully covered in the retrieved documents. Let me provide what I found:

## Hybrid Retrieval

**Hybrid retrieval** is an approach that combines two complementary retrieval methods to leverage their respective strengths:

1. **Sparse models** (like BM25 and TF-IDF) - These use interpretable, term-based representations and rely on inverted index structures. They excel at exact keyword matching and lexical precision [1].

2. **Dense models** - These represent queries and documents as continuous vectors using deep learning models (typically transformer-based encoders). They enable semantic similarity matching beyond exact term overlap and are effective for semantic search and question answering [1].

**Hybrid models aim to combine the strengths of both approaches**, integrating lexical (token) precision with semantic depth through several techniques [1]:
- **Score fusion** - Combining scores from both retrieval methods
- **Late interaction** - Comparing words more precisely after retrieval
- **Multi-stage ranking pipelines** - Using different methods at different stages

This combination balances scalability, relevance, and efficiency in retrieval systems [2].

## Data Fusion Methods

While the documents don't specifically detail RRF, they do mention that **data fusion in information retrieval combines results from multiple search systems** to improve performance. Common methods include [3]:
- **Score normalization**
- **Voting techniques** like CombSUM or Borda count

These meta-search strategies are particularly effective when individual systems have complementary coverage or when query difficulty varies, producing a more robust and reliable final ranking.

**Note:** The specific formula and mechanism of RRF (Reciprocal Rank Fusion) for combining BM25 and dense scores was not found in the available documents. RRF typically works by converting rankings to reciprocal rank scores and summing them, but I cannot provide the exact details from these sources.

---
**References:**
[1] wikipedia - Information retrieval (chunk_24)
[2] wikipedia - Information retrieval (chunk_13)
[3] wikipedia - Information retrieval (chunk_20)",3.1,3,4,3,52.22568988800049,27436,2212,0.115488
direct,e1,What is hybrid retrieval and how does RRF combine BM25 with dense scores?,easy,3,"Based on the search results, I can provide information about hybrid retrieval, though the specific details about RRF (Reciprocal Rank Fusion) are not fully covered in the retrieved documents. Let me provide what I found:

## Hybrid Retrieval

**Hybrid retrieval** is an approach that combines two complementary retrieval methods to leverage their respective strengths:

1. **Sparse models** (like BM25 and TF-IDF) - These use interpretable, term-based representations and rely on inverted index structures. They excel at exact keyword matching and lexical precision [1].

2. **Dense models** - These represent queries and documents as continuous vectors using deep learning models (typically transformer-based encoders). They enable semantic similarity matching beyond exact term overlap and are effective for semantic search and question answering [1].

**Hybrid models aim to combine the strengths of both approaches**, integrating lexical (token) precision with semantic depth through several techniques [1]:
- **Score fusion** - Combining scores from both retrieval methods
- **Late interaction** - Comparing words more precisely after retrieval
- **Multi-stage ranking pipelines** - Using different methods at different stages

This combination balances scalability, relevance, and efficiency in retrieval systems [2].

## Data Fusion Methods

While the documents don't specifically detail RRF, they do mention that **data fusion in information retrieval combines results from multiple search systems** to improve performance. Common methods include [3]:
- **Score normalization**
- **Voting techniques** like CombSUM or Borda count

These meta-search strategies are particularly effective when individual systems have complementary coverage or when query difficulty varies, producing a more robust and reliable final ranking.

**Note:** The specific formula and mechanism of RRF (Reciprocal Rank Fusion) for combining BM25 and dense scores was not found in the available documents. RRF typically works by converting rankings to reciprocal rank scores and summing them, but I cannot provide the exact details from these sources.

---
**References:**
[1] wikipedia - Information retrieval (chunk_24)
[2] wikipedia - Information retrieval (chunk_13)
[3] wikipedia - Information retrieval (chunk_20)",3.1,3,4,3,50.02946090698242,27436,2199,0.1152929999999999
direct,e1,What is hybrid retrieval and how does RRF combine BM25 with dense scores?,easy,4,"Based on the search results, I can provide information about hybrid retrieval, though the specific details about RRF (Reciprocal Rank Fusion) are not fully covered in the retrieved documents. Let me provide what I found:

## Hybrid Retrieval

**Hybrid retrieval** is an approach that combines two complementary retrieval methods to leverage their respective strengths:

1. **Sparse models** (like BM25 and TF-IDF) - These use interpretable, term-based representations and rely on inverted index structures. They excel at exact keyword matching and lexical precision [1].

2. **Dense models** - These represent queries and documents as continuous vectors using deep learning models (typically transformer-based encoders). They enable semantic similarity matching beyond exact term overlap and are effective for semantic search and question answering [1].

**Hybrid models aim to combine the strengths of both approaches**, integrating lexical (token) precision with semantic depth through several techniques [1]:
- **Score fusion** - Combining scores from different retrieval systems
- **Late interaction** - Comparing words more precisely after retrieval
- **Multi-stage ranking pipelines** - Using different methods at different stages

According to the sources, hybrid approaches can ""combine dense vector representations with sparse one-hot vectors, taking advantage of the computational efficiency of sparse dot products over dense vector operations"" [2].

## Data Fusion Methods

While the specific RRF formula wasn't detailed in the retrieved documents, the sources mention that **data fusion in information retrieval combines results from multiple search systems** to improve performance. Common methods include [3]:
- **Score normalization**
- **Voting techniques like CombSUM or Borda count**

This meta-search strategy is particularly effective when individual systems have complementary coverage or when query difficulty varies, producing a more robust and reliable final ranking.

**Citations:**
[1] wikipedia - Information retrieval, chunk_24
[2] wikipedia - Retrieval-augmented generation, chunk_12  
[3] wikipedia - Information retrieval, chunk_20

*Note: The specific mathematical formula for RRF (Reciprocal Rank Fusion) was not found in the available documents, though the general concept of combining ranked lists through data fusion methods was described.*",3.0,3,4,3,72.58945202827454,27436,2197,0.115263
direct,e2,How does cross-encoder reranking differ from a bi-encoder?,easy,0,"The search results don't contain specific information comparing cross-encoders and bi-encoders directly. Let me provide an answer based on general knowledge of these architectures, as the retrieved documents don't adequately address this question.

## Cross-Encoder vs Bi-Encoder: Key Differences

While the search results don't contain detailed information specifically comparing cross-encoders and bi-encoders, I can explain the fundamental architectural differences:

### **Bi-Encoder (Dual Encoder)**
- **Architecture**: Uses two separate encoders to independently encode the query and document into fixed-size embeddings
- **Process**: Query and document are encoded separately, then compared using similarity metrics (e.g., cosine similarity, dot product)
- **Advantages**: 
  - Very fast at inference time - documents can be pre-encoded and stored
  - Scalable for large collections using vector search
  - Enables efficient retrieval from millions of documents
- **Limitations**: No interaction between query and document during encoding

The search results mention that ""SBERT later achieved superior sentence embedding performance by fine tuning BERT's [CLS] token embeddings through the usage of a siamese neural network architecture"" [1], which is an example of a bi-encoder approach.

### **Cross-Encoder**
- **Architecture**: Processes query and document together as a single input
- **Process**: Concatenates query and document, feeds them jointly through the encoder with full attention between all tokens
- **Advantages**:
  - Higher accuracy due to token-level interactions between query and document
  - Better at capturing nuanced relevance signals
- **Limitations**: 
  - Computationally expensive - must encode every query-document pair
  - Cannot pre-compute document representations
  - Not suitable for initial retrieval from large collections

### **Typical Usage Pattern**
As mentioned in the retrieval-augmented generation context, systems often use ""multi-stage ranking pipelines"" [2] where bi-encoders perform fast initial retrieval, and cross-encoders rerank the top candidates for better accuracy.

[1] wikipedia::sentence_embedding::chunk_1
[2] wikipedia::information_retrieval::chunk_24",4.5,5,5,4,82.10935592651367,43402,2344,0.165366
direct,e2,How does cross-encoder reranking differ from a bi-encoder?,easy,1,"The search results don't contain direct information comparing cross-encoders and bi-encoders. Let me provide an answer based on general knowledge about these architectures, as this is a well-established concept in information retrieval and NLP.

## Cross-Encoder vs Bi-Encoder: Key Differences

While my search didn't return specific documentation comparing these architectures, I can explain the fundamental differences based on how these models work in information retrieval systems:

### **Bi-Encoder (Dual Encoder)**
- **Architecture**: Uses two separate encoders - one for queries and one for documents
- **Process**: Encodes queries and documents **independently** into fixed-size embeddings
- **Similarity**: Computes similarity using simple vector operations (e.g., cosine similarity, dot product)
- **Speed**: Very fast at inference time - documents can be pre-encoded and stored
- **Use case**: Ideal for initial retrieval from large document collections
- **Example**: SBERT (Sentence-BERT) uses a ""siamese neural network architecture"" for creating sentence embeddings independently

### **Cross-Encoder**
- **Architecture**: Uses a single encoder that processes query-document pairs **together**
- **Process**: Concatenates query and document, then encodes them jointly with full attention between all tokens
- **Similarity**: Directly outputs a relevance score for the pair
- **Speed**: Slower - must encode each query-document pair at inference time
- **Use case**: Best for reranking a smaller set of candidates
- **Accuracy**: More accurate due to token-level interactions between query and document

### **Typical Pipeline**
As mentioned in the retrieval-augmented generation context, systems often use a **multi-stage ranking pipeline**: first retrieve candidates with a fast bi-encoder, then rerank the top results with a more accurate cross-encoder.

This hybrid approach balances efficiency and accuracy in modern search and RAG systems.",4.5,5,5,5,84.8088321685791,64327,2798,0.234951
direct,e2,How does cross-encoder reranking differ from a bi-encoder?,easy,2,"The search results don't contain specific information comparing cross-encoders and bi-encoders directly. Let me provide an answer based on general knowledge of these architectures:

## Cross-Encoder vs Bi-Encoder: Key Differences

While the search results don't contain detailed comparisons between cross-encoders and bi-encoders, I can explain the fundamental architectural differences:

### **Bi-Encoder (Dual Encoder)**
- **Separate encoding**: Encodes the query and document **independently** using two separate (or shared) encoders
- **Pre-computed embeddings**: Documents can be encoded once and stored as vectors in advance
- **Similarity via vector operations**: Relevance is computed using simple vector similarity (e.g., cosine similarity or dot product)
- **Fast at scale**: Extremely efficient for large-scale retrieval since document embeddings are pre-computed
- **Limited interaction**: Query and document don't ""see"" each other during encoding

The search results mention this approach: ""an indexing is generated by generating embeddings for chunks of documents and storing (document chunk, embedding) tuples. Then given a query in natural language, the embedding for the query can be generated. A top k similarity search algorithm is then used"" [wikipedia::sentence_embedding::chunk_4].

### **Cross-Encoder**
- **Joint encoding**: Encodes the query and document **together** as a single input (e.g., ""[query] [SEP] [document]"")
- **Full attention interaction**: The model can attend between query and document tokens, capturing fine-grained relevance signals
- **Direct relevance score**: Outputs a single relevance score rather than separate embeddings
- **More accurate but slower**: Provides better ranking quality but requires encoding each query-document pair at inference time
- **Used for reranking**: Typically applied to rerank a smaller candidate set retrieved by a bi-encoder

The results mention that ""Some models incorporate extra steps to improve output, such as the re-ranking of retrieved information"" [wikipedia::retrieval-augmented_generation::chunk_9].

### **Typical Pipeline**
The standard approach combines both: use a bi-encoder for fast initial retrieval of top-k candidates, then use a cross-encoder to rerank those candidates for higher accuracy.",4.5,5,5,4,84.64270186424255,43214,2202,0.162672
direct,e2,How does cross-encoder reranking differ from a bi-encoder?,easy,3,"The search results don't contain specific information comparing cross-encoders and bi-encoders directly. Let me provide an answer based on general knowledge of these architectures:

## Cross-Encoder vs Bi-Encoder: Key Differences

While the search results don't contain detailed comparisons between cross-encoders and bi-encoders, I can explain the fundamental architectural differences:

### **Bi-Encoder (Dual Encoder)**
- **Separate encoding**: Encodes the query and document **independently** using two separate (or shared) encoders
- **Pre-computed embeddings**: Documents can be encoded once and stored as vectors in advance
- **Similarity via vector operations**: Relevance is computed using simple vector similarity (e.g., cosine similarity or dot product)
- **Fast at scale**: Extremely efficient for large-scale retrieval since document embeddings are pre-computed
- **Limited interaction**: Query and document don't ""see"" each other during encoding

The search results mention this approach: ""an indexing is generated by generating embeddings for chunks of documents and storing (document chunk, embedding) tuples. Then given a query in natural language, the embedding for the query can be generated. A top k similarity search algorithm is then used"" [wikipedia::sentence_embedding::chunk_4].

### **Cross-Encoder**
- **Joint encoding**: Encodes the query and document **together** as a single input (e.g., ""[query] [SEP] [document]"")
- **Full attention interaction**: The model can attend between query and document tokens, capturing fine-grained relevance signals
- **Direct relevance score**: Outputs a single relevance score rather than separate embeddings
- **More accurate but slower**: Provides better ranking quality but requires encoding each query-document pair at inference time
- **Used for reranking**: Typically applied to rerank a smaller candidate set retrieved by a bi-encoder

The results mention that ""Some models incorporate extra steps to improve output, such as the re-ranking of retrieved information"" [wikipedia::retrieval-augmented_generation::chunk_9].

### **Typical Pipeline**
The standard approach combines both: use a bi-encoder for fast initial retrieval of top-k candidates, then use a cross-encoder to rerank those candidates for higher accuracy.",4.5,5,5,4,83.09951996803284,43214,2202,0.162672
direct,e2,How does cross-encoder reranking differ from a bi-encoder?,easy,4,"Based on the search results, I can now provide a comprehensive answer about the differences between cross-encoder reranking and bi-encoders.

## Cross-Encoder vs Bi-Encoder: Key Differences

**Bi-encoders** and **cross-encoders** represent two fundamentally different architectures for matching queries with documents:

### Bi-Encoder Architecture
Bi-encoders (also called **dual encoders** or **siamese networks**) encode queries and documents **independently** into separate vector embeddings. The similarity between a query and document is then computed using simple vector operations like cosine similarity. As one source explains, bi-encoders like SBERT use ""a siamese neural network architecture"" where documents are pre-encoded and stored as embeddings in a vector database. When a query comes in, it's encoded separately, and ""a top k similarity search algorithm is then used between the query embedding and the document chunk embeddings to retrieve the most relevant document chunks.""

**Key characteristics:**
- Query and document are encoded separately
- Fast retrieval using pre-computed embeddings
- Scalable to large document collections
- Uses simple similarity metrics (cosine similarity, dot product)

### Cross-Encoder Architecture
Cross-encoders take a fundamentally different approach by processing the **query and document together as a single input**. According to the sources, ""re-rankers' architectures (often cross-encoders) are often more memory consumptive and slower but yield more precise results."" Cross-encoders allow for richer interaction between query and document tokens through attention mechanisms.

**Key characteristics:**
- Query and document are jointly encoded
- More computationally expensive (cannot pre-compute)
- Higher accuracy due to token-level interactions
- Typically used on smaller candidate sets (10-50 documents)

### Practical Usage
In modern retrieval systems, these approaches are often combined: bi-encoders perform fast initial retrieval from large document collections, then cross-encoders rerank the top candidates for improved precision. As noted, reranking is ""considered an optional step between retrieval and generation"" that helps overcome the limitation that ""cosine similarity between embeddings can only go so far in terms of matching queries to documents.""",4.5,5,5,5,80.50118803977966,64236,2423,0.2290529999999999
